date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:16	13912/13912	---M-Z	200	added ('OK')	text/html	etag:%223658-6429ad24-8afe1ca80d349f39;gz%22	https://wpriverthemes.com/landing/gridx-html/index.html	C:/Users/akshay%20p/Desktop/fr/wpriverthemes.com/landing/gridx-html/index.html	(from )
09:21:18	2100107/2100107	---M-Z	200	added ('OK')	text/css	etag:W/%22200b8b-/BxP1WOmsqe4aqWf7+98d6IDVxo%22	https://cdn.jsdelivr.net/gh/iconoir-icons/iconoir@main/css/iconoir.css	C:/Users/akshay%20p/Desktop/fr/cdn.jsdelivr.net/gh/iconoir-icons/iconoir@main/css/iconoir.css	(from https://wpriverthemes.com/landing/gridx-html/index.html)
09:21:19	155800/155800	---M-Z	200	added ('OK')	text/css	etag:%2226098-6429ad26-ebca0059c3b2dc20;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/css/bootstrap.min.css	C:/Users/akshay%20p/Desktop/fr/wpriverthemes.com/landing/gridx-html/assets/css/bootstrap.min.css	(from https://wpriverthemes.com/landing/gridx-html/index.html)
09:21:41	46408/46408	---M-Z	200	added ('OK')	text/css	etag:%22b548-6429ad27-30f821eec5447fcc;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/css/style.css	C:/Users/akshay%20p/Desktop/fr/wpriverthemes.com/landing/gridx-html/assets/css/style.css	(from https://wpriverthemes.com/landing/gridx-html/index.html)
09:21:42	3313/3313	---M-Z	200	added ('OK')	image/svg+xml	etag:%22cf1-6429ad26-305f4239479ff62f;gz%22	https://wpriverthemes.com/landing/gridx-html/assets/images/logo.svg	C:/Users/akshay%20p/Desktop/fr/wpriverthemes.com/landing/gridx-html/assets/images/logo.svg	(from https://wpriverthemes.com/landing/gridx-html/index.html)
09:21:43	10181/10181	---M-Z	200	added ('OK')	text/html	etag:%2227c5-6429ad23-8b8a47d323748e37;gz%22	https://wpriverthemes.com/landing/gridx-html/about.html	C:/Users/akshay%20p/Desktop/fr/wpriverthemes.com/landing/gridx-html/about.html	(from https://wpriverthemes.com/landing/gridx-html/index.html)
09:21:44	11330/11330	---M-Z	200	added ('OK')	text/html	etag:%222c42-6429ad24-2b3adbecdad0dffc;gz%22	https://wpriverthemes.com/landing/gridx-html/works.html	C:/Users/akshay%20p/Desktop/fr/wpriverthemes.com/landing/gridx-html/works.html	(from https://wpriverthemes.com/landing/gridx-html/index.html)
09:21:44	7669/7669	---M-Z	200	added ('OK')	text/html	etag:%221df5-6429ad23-65936ae364f19f58;gz%22	https://wpriverthemes.com/landing/gridx-html/contact.html	C:/Users/akshay%20p/Desktop/fr/wpriverthemes.com/landing/gridx-html/contact.html	(from https://wpriverthemes.com/landing/gridx-html/index.html)
09:21:46	113367/113367	---M--	200	added ('OK')	image/png	etag:%221bad7-6429ad27-a4ba6eaefd643bfd;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/bg1.png	C:/Users/akshay%20p/Desktop/fr/wpriverthemes.com/landing/gridx-html/assets/images/bg1.png	(from https://wpriverthemes.com/landing/gridx-html/index.html)
09:21:47	112827/112827	---M--	200	added ('OK')	image/png	etag:%221b8bb-6429ad24-3d0122eaeb833175;;;%22	https://wpriverthemes.com/landing/gridx-html/assets/images/me.png	C:/Users/akshay%20p/Desktop/fr/wpriverthemes.com/landing/gridx-html/assets/images/me.png	(from https://wpriverthemes.com/landing/gridx-html/index.html)
